CNNVD,VEDAS
CNNVD-202506-998,0.1850759
CNNVD-202506-997,0.1866237
CNNVD-202506-996,0.185691
CNNVD-202506-995,0.1856766
CNNVD-202506-994,0.1871572
CNNVD-202506-993,0.185691
CNNVD-202506-992,0.1856795
CNNVD-202506-991,0.1850328
CNNVD-202506-990,0.1857111
CNNVD-202506-989,0.1850788
CNNVD-202506-988,0.1856795
CNNVD-202506-987,0.1856795
CNNVD-202506-986,0.1796548
CNNVD-202506-985,0.1850328
CNNVD-202506-984,0.2696682
CNNVD-202506-983,0.1850099
CNNVD-202506-982,0.1730245
CNNVD-202506-981,0.1852538
CNNVD-202506-980,0.6578571
CNNVD-202506-979,0.1860411
CNNVD-202506-978,0.1850243
CNNVD-202506-977,0.1856795
CNNVD-202506-976,0.1850099
CNNVD-202506-975,0.185007
CNNVD-202506-974,0.1850903
CNNVD-202506-973,0.1850099
CNNVD-202506-972,0.1850099
CNNVD-202506-971,0.185073
CNNVD-202506-970,0.1850644
CNNVD-202506-969,0.1857455
CNNVD-202506-968,0.186552
CNNVD-202506-967,0.1850644
CNNVD-202506-966,0.186595
CNNVD-202506-965,0.1850099
CNNVD-202506-964,0.1850214
CNNVD-202506-963,0.1842446
CNNVD-202506-962,0.1850099
CNNVD-202506-961,0.1850099
CNNVD-202506-960,0.1850644
CNNVD-202506-959,0.1857455
CNNVD-202506-958,0.1850243
CNNVD-202506-957,0.1865893
CNNVD-202506-956,0.1857627
CNNVD-202506-955,0.1869021
CNNVD-202506-954,0.1857857
CNNVD-202506-953,0.1853715
CNNVD-202506-952,0.1860411
CNNVD-202506-951,0.1869021
CNNVD-202506-950,0.1860411
CNNVD-202506-949,0.1860411
CNNVD-202506-948,0.1871572
CNNVD-202506-947,0.1869021
CNNVD-202506-946,0.186552
CNNVD-202506-945,0.1850673
CNNVD-202506-944,0.1869021
CNNVD-202506-943,0.1853715
CNNVD-202506-942,0.1849467
CNNVD-202506-941,0.1729659
CNNVD-202506-940,0.1849955
CNNVD-202506-939,0.2704254
CNNVD-202506-938,0.1836792
CNNVD-202506-937,0.1713915
CNNVD-202506-936,0.3315738
CNNVD-202506-935,0.1715386
CNNVD-202506-934,0.336099
CNNVD-202506-933,0.1861129
CNNVD-202506-932,0.1785834
CNNVD-202506-931,0.1860871
CNNVD-202506-930,0.3357604
CNNVD-202506-929,0.1796548
CNNVD-202506-928,0.1891062
CNNVD-202506-927,0.2704314
CNNVD-202506-926,0.1850845
CNNVD-202506-925,0.1715264
CNNVD-202506-924,0.1861129
CNNVD-202506-923,0.1889885
CNNVD-202506-922,0.186067
CNNVD-202506-921,0.1713811
CNNVD-202506-920,0.1869279
CNNVD-202506-919,0.1850845
CNNVD-202506-918,0.1715264
CNNVD-202506-917,0.1866151
CNNVD-202506-916,0.1861617
CNNVD-202506-915,0.1731042
CNNVD-202506-914,0.1715264
CNNVD-202506-913,0.1715953
CNNVD-202506-912,0.1731042
CNNVD-202506-911,0.1747114
CNNVD-202506-910,0.1879238
CNNVD-202506-909,0.1692253
CNNVD-202506-908,0.1747114
CNNVD-202506-907,0.1731042
CNNVD-202506-906,0.1731766
CNNVD-202506-905,0.1879726
CNNVD-202506-904,0.1836505
CNNVD-202506-903,0.1694009
CNNVD-202506-902,0.1823055
CNNVD-202506-901,0.1823055
